paper,concept,relevance
Imaging and spectroscopy of defects in semiconductors using aberration-corrected STEM,silicon substrate,0.83
Imaging and spectroscopy of defects in semiconductors using aberration-corrected STEM,electron probe,0.82
Imaging and spectroscopy of defects in semiconductors using aberration-corrected STEM,silicon valence state,0.81
Imaging and spectroscopy of defects in semiconductors using aberration-corrected STEM,lateral spatial resolution,0.79
Imaging and spectroscopy of defects in semiconductors using aberration-corrected STEM,depth sensitivity,0.77
Imaging and spectroscopy of defects in semiconductors using aberration-corrected STEM,probe forming angles,0.75
Imaging and spectroscopy of defects in semiconductors using aberration-corrected STEM,electron optics,0.72
Imaging and spectroscopy of defects in semiconductors using aberration-corrected STEM,impurity atoms,0.7
Imaging and spectroscopy of defects in semiconductors using aberration-corrected STEM,simultaneous signal acquisition,0.65
Imaging and spectroscopy of defects in semiconductors using aberration-corrected STEM,atom localization,0.63
Imaging and spectroscopy of defects in semiconductors using aberration-corrected STEM,semiconductor characterization,0.6
Observation of [100] and [010] dark line defects in optically degraded znsse-based leds by transmission electron microscopy,dark line defects,1.0
Observation of [100] and [010] dark line defects in optically degraded znsse-based leds by transmission electron microscopy,frank-type stacking faults,0.97
Observation of [100] and [010] dark line defects in optically degraded znsse-based leds by transmission electron microscopy,znsse,0.95
Observation of [100] and [010] dark line defects in optically degraded znsse-based leds by transmission electron microscopy,transmission electron microscopy,0.93
Observation of [100] and [010] dark line defects in optically degraded znsse-based leds by transmission electron microscopy,photodegradation,0.92
Observation of [100] and [010] dark line defects in optically degraded znsse-based leds by transmission electron microscopy,dislocation loops,0.91
Observation of [100] and [010] dark line defects in optically degraded znsse-based leds by transmission electron microscopy,gaas heterostructure,0.89
Observation of [100] and [010] dark line defects in optically degraded znsse-based leds by transmission electron microscopy,quantum well,0.87
Observation of [100] and [010] dark line defects in optically degraded znsse-based leds by transmission electron microscopy,shockley-type stacking faults,0.86
Observation of [100] and [010] dark line defects in optically degraded znsse-based leds by transmission electron microscopy,hairpin dislocation loops,0.84
Observation of [100] and [010] dark line defects in optically degraded znsse-based leds by transmission electron microscopy,half-loops,0.82
Observation of [100] and [010] dark line defects in optically degraded znsse-based leds by transmission electron microscopy,vacancy clusters,0.8
Observation of [100] and [010] dark line defects in optically degraded znsse-based leds by transmission electron microscopy,dislocation glide,0.78
Observation of [100] and [010] dark line defects in optically degraded znsse-based leds by transmission electron microscopy,{111} planes,0.75
Observation of [100] and [010] dark line defects in optically degraded znsse-based leds by transmission electron microscopy,elongated dislocation loops,0.73
Observation of [100] and [010] dark line defects in optically degraded znsse-based leds by transmission electron microscopy,dislocation tangles,0.71
Observation of [100] and [010] dark line defects in optically degraded znsse-based leds by transmission electron microscopy,device degradation mechanism,0.68
Observation of [100] and [010] dark line defects in optically degraded znsse-based leds by transmission electron microscopy,znsse-based heterostructure,0.66
Observation of [100] and [010] dark line defects in optically degraded znsse-based leds by transmission electron microscopy,pre-existing defects,0.6
Observation of [100] and [010] dark line defects in optically degraded znsse-based leds by transmission electron microscopy,vacancy emission,0.58
Transmission electron microscopy evidence of the defect structure in Si nanowires synthesized by laser ablation,si nanowires,1.0
Transmission electron microscopy evidence of the defect structure in Si nanowires synthesized by laser ablation,hrtem,0.95
Transmission electron microscopy evidence of the defect structure in Si nanowires synthesized by laser ablation,electron diffraction,0.93
Transmission electron microscopy evidence of the defect structure in Si nanowires synthesized by laser ablation,laser ablation,0.9
Transmission electron microscopy evidence of the defect structure in Si nanowires synthesized by laser ablation,stacking faults,0.88
Transmission electron microscopy evidence of the defect structure in Si nanowires synthesized by laser ablation,twins,0.85
Transmission electron microscopy evidence of the defect structure in Si nanowires synthesized by laser ablation,microstructure,0.83
Transmission electron microscopy evidence of the defect structure in Si nanowires synthesized by laser ablation,〈211〉 direction,0.82
Transmission electron microscopy evidence of the defect structure in Si nanowires synthesized by laser ablation,{111} surfaces,0.8
Transmission electron microscopy evidence of the defect structure in Si nanowires synthesized by laser ablation,si whiskers,0.77
Transmission electron microscopy evidence of the defect structure in Si nanowires synthesized by laser ablation,nanowire axes,0.75
Transmission electron microscopy evidence of the defect structure in Si nanowires synthesized by laser ablation,high-resolution transmission electron microscopy,0.74
Transmission electron microscopy evidence of the defect structure in Si nanowires synthesized by laser ablation,si core,0.72
Transmission electron microscopy evidence of the defect structure in Si nanowires synthesized by laser ablation,crystal defects,0.7
Transmission electron microscopy evidence of the defect structure in Si nanowires synthesized by laser ablation,si crystals,0.68
Transmission electron microscopy evidence of the defect structure in Si nanowires synthesized by laser ablation,kink structure,0.65
Transmission electron microscopy evidence of the defect structure in Si nanowires synthesized by laser ablation,nanowire diameter,0.62
Transmission electron microscopy evidence of the defect structure in Si nanowires synthesized by laser ablation,high temperature synthesis,0.6
Transmission electron microscopy evidence of the defect structure in Si nanowires synthesized by laser ablation,defect density,0.58
Transmission electron microscopy evidence of the defect structure in Si nanowires synthesized by laser ablation,crystal orientation,0.55
Transmission electron microscopy study of hydrogen defect formation at extended defects in hydrogen plasma treated multicrystalline silicon,multicrystalline silicon,1.0
Transmission electron microscopy study of hydrogen defect formation at extended defects in hydrogen plasma treated multicrystalline silicon,hydrogen passivation,0.97
Transmission electron microscopy study of hydrogen defect formation at extended defects in hydrogen plasma treated multicrystalline silicon,hydrogen plasma treatment,0.96
Transmission electron microscopy study of hydrogen defect formation at extended defects in hydrogen plasma treated multicrystalline silicon,hydrogen-induced defects,0.95
Transmission electron microscopy study of hydrogen defect formation at extended defects in hydrogen plasma treated multicrystalline silicon,defect passivation,0.93
Transmission electron microscopy study of hydrogen defect formation at extended defects in hydrogen plasma treated multicrystalline silicon,solar cell,0.88
Transmission electron microscopy study of hydrogen defect formation at extended defects in hydrogen plasma treated multicrystalline silicon,bulk dislocations,0.87
Transmission electron microscopy study of hydrogen defect formation at extended defects in hydrogen plasma treated multicrystalline silicon,twin grain boundaries,0.86
Transmission electron microscopy study of hydrogen defect formation at extended defects in hydrogen plasma treated multicrystalline silicon,electron microscopy,0.85
Transmission electron microscopy study of hydrogen defect formation at extended defects in hydrogen plasma treated multicrystalline silicon,passivation efficiency,0.85
Transmission electron microscopy study of hydrogen defect formation at extended defects in hydrogen plasma treated multicrystalline silicon,stacking faults,0.84
Transmission electron microscopy study of hydrogen defect formation at extended defects in hydrogen plasma treated multicrystalline silicon,impurity gettering,0.83
Transmission electron microscopy study of hydrogen defect formation at extended defects in hydrogen plasma treated multicrystalline silicon,sawing defects,0.82
Transmission electron microscopy study of hydrogen defect formation at extended defects in hydrogen plasma treated multicrystalline silicon,intragranular defects,0.81
Transmission electron microscopy study of hydrogen defect formation at extended defects in hydrogen plasma treated multicrystalline silicon,chemical etching,0.8
Transmission electron microscopy study of hydrogen defect formation at extended defects in hydrogen plasma treated multicrystalline silicon,extended bulk defects,0.79
Transmission electron microscopy study of hydrogen defect formation at extended defects in hydrogen plasma treated multicrystalline silicon,grain orientation,0.78
Transmission electron microscopy study of hydrogen defect formation at extended defects in hydrogen plasma treated multicrystalline silicon,carrier lifetime,0.76
Transmission electron microscopy study of hydrogen defect formation at extended defects in hydrogen plasma treated multicrystalline silicon,subsurface region,0.75
Transmission electron microscopy study of hydrogen defect formation at extended defects in hydrogen plasma treated multicrystalline silicon,si wafer,0.74
Comparative studies of defects in GaAs on silicon substrates using electron‐beam‐induced current and transmission electron microscopy,electron-beam-induced current,1.0
Comparative studies of defects in GaAs on silicon substrates using electron‐beam‐induced current and transmission electron microscopy,transmission electron microscopy,0.97
Comparative studies of defects in GaAs on silicon substrates using electron‐beam‐induced current and transmission electron microscopy,heteroepitaxial films,0.95
Comparative studies of defects in GaAs on silicon substrates using electron‐beam‐induced current and transmission electron microscopy,gaas on si,0.95
Comparative studies of defects in GaAs on silicon substrates using electron‐beam‐induced current and transmission electron microscopy,ebic imaging,0.95
Comparative studies of defects in GaAs on silicon substrates using electron‐beam‐induced current and transmission electron microscopy,electrically active defects,0.93
Comparative studies of defects in GaAs on silicon substrates using electron‐beam‐induced current and transmission electron microscopy,dark spot micrographs,0.88
Comparative studies of defects in GaAs on silicon substrates using electron‐beam‐induced current and transmission electron microscopy,gaas epilayer,0.87
Comparative studies of defects in GaAs on silicon substrates using electron‐beam‐induced current and transmission electron microscopy,defect density,0.85
Comparative studies of defects in GaAs on silicon substrates using electron‐beam‐induced current and transmission electron microscopy,minority carrier lifetime,0.83
Comparative studies of defects in GaAs on silicon substrates using electron‐beam‐induced current and transmission electron microscopy,diffusion length,0.81
Comparative studies of defects in GaAs on silicon substrates using electron‐beam‐induced current and transmission electron microscopy,enhanced recombination,0.8
Comparative studies of defects in GaAs on silicon substrates using electron‐beam‐induced current and transmission electron microscopy,defect distribution,0.78
Comparative studies of defects in GaAs on silicon substrates using electron‐beam‐induced current and transmission electron microscopy,carrier recombination centers,0.76
Comparative studies of defects in GaAs on silicon substrates using electron‐beam‐induced current and transmission electron microscopy,dark contrast regions,0.75
Comparative studies of defects in GaAs on silicon substrates using electron‐beam‐induced current and transmission electron microscopy,microstructural defects,0.74
Comparative studies of defects in GaAs on silicon substrates using electron‐beam‐induced current and transmission electron microscopy,heteroepitaxy,0.72
Comparative studies of defects in GaAs on silicon substrates using electron‐beam‐induced current and transmission electron microscopy,electrical quality,0.68
Comparative studies of defects in GaAs on silicon substrates using electron‐beam‐induced current and transmission electron microscopy,silicon substrate,0.65
Comparative studies of defects in GaAs on silicon substrates using electron‐beam‐induced current and transmission electron microscopy,large-area epitaxial films,0.62
Recent Advances in Electron Tomography: TEM and HAADF-STEM Tomography for Materials Science and Semiconductor Applications,electron tomography,1.0
Recent Advances in Electron Tomography: TEM and HAADF-STEM Tomography for Materials Science and Semiconductor Applications,haadf-stem tomography,0.97
Recent Advances in Electron Tomography: TEM and HAADF-STEM Tomography for Materials Science and Semiconductor Applications,transmission electron microscopy,0.95
Recent Advances in Electron Tomography: TEM and HAADF-STEM Tomography for Materials Science and Semiconductor Applications,3d structural characterization,0.92
Recent Advances in Electron Tomography: TEM and HAADF-STEM Tomography for Materials Science and Semiconductor Applications,bright-field tem tomography,0.9
Recent Advances in Electron Tomography: TEM and HAADF-STEM Tomography for Materials Science and Semiconductor Applications,semiconductor devices,0.88
Recent Advances in Electron Tomography: TEM and HAADF-STEM Tomography for Materials Science and Semiconductor Applications,crystalline materials,0.86
Recent Advances in Electron Tomography: TEM and HAADF-STEM Tomography for Materials Science and Semiconductor Applications,high-angle annular dark-field,0.85
Recent Advances in Electron Tomography: TEM and HAADF-STEM Tomography for Materials Science and Semiconductor Applications,scanning transmission electron microscopy,0.83
Recent Advances in Electron Tomography: TEM and HAADF-STEM Tomography for Materials Science and Semiconductor Applications,nanotechnology,0.75
Recent Advances in Electron Tomography: TEM and HAADF-STEM Tomography for Materials Science and Semiconductor Applications,hydrogen storage material,0.74
Recent Advances in Electron Tomography: TEM and HAADF-STEM Tomography for Materials Science and Semiconductor Applications,catalysts,0.72
Recent Advances in Electron Tomography: TEM and HAADF-STEM Tomography for Materials Science and Semiconductor Applications,single crystalline domains,0.7
Recent Advances in Electron Tomography: TEM and HAADF-STEM Tomography for Materials Science and Semiconductor Applications,high-resolution 3d imaging,0.68
Recent Advances in Electron Tomography: TEM and HAADF-STEM Tomography for Materials Science and Semiconductor Applications,amorphous specimens,0.65
Recent Advances in Electron Tomography: TEM and HAADF-STEM Tomography for Materials Science and Semiconductor Applications,partially crystalline materials,0.63
Recent Advances in Electron Tomography: TEM and HAADF-STEM Tomography for Materials Science and Semiconductor Applications,physical sciences,0.55
Recent Advances in Electron Tomography: TEM and HAADF-STEM Tomography for Materials Science and Semiconductor Applications,semiconductor industry,0.53
Recent Advances in Electron Tomography: TEM and HAADF-STEM Tomography for Materials Science and Semiconductor Applications,nanometer resolution,0.5
Recent Advances in Electron Tomography: TEM and HAADF-STEM Tomography for Materials Science and Semiconductor Applications,life sciences applications,0.42
High Resolution Scanning Transmission Electron Microscopy (S/TEM) Investigation Of Common Defects In Scandium and Aluminum Alloyed β-Ga2O3,β-ga2o3,1.0
High Resolution Scanning Transmission Electron Microscopy (S/TEM) Investigation Of Common Defects In Scandium and Aluminum Alloyed β-Ga2O3,beta gallium oxide,0.99
High Resolution Scanning Transmission Electron Microscopy (S/TEM) Investigation Of Common Defects In Scandium and Aluminum Alloyed β-Ga2O3,ultra-wide-band gap semiconductor,0.95
High Resolution Scanning Transmission Electron Microscopy (S/TEM) Investigation Of Common Defects In Scandium and Aluminum Alloyed β-Ga2O3,band gap,0.88
High Resolution Scanning Transmission Electron Microscopy (S/TEM) Investigation Of Common Defects In Scandium and Aluminum Alloyed β-Ga2O3,baliga figure of merit,0.87
High Resolution Scanning Transmission Electron Microscopy (S/TEM) Investigation Of Common Defects In Scandium and Aluminum Alloyed β-Ga2O3,monoclinic structure,0.85
High Resolution Scanning Transmission Electron Microscopy (S/TEM) Investigation Of Common Defects In Scandium and Aluminum Alloyed β-Ga2O3,power electronics,0.84
High Resolution Scanning Transmission Electron Microscopy (S/TEM) Investigation Of Common Defects In Scandium and Aluminum Alloyed β-Ga2O3,p-type doping,0.83
High Resolution Scanning Transmission Electron Microscopy (S/TEM) Investigation Of Common Defects In Scandium and Aluminum Alloyed β-Ga2O3,defect formation,0.82
High Resolution Scanning Transmission Electron Microscopy (S/TEM) Investigation Of Common Defects In Scandium and Aluminum Alloyed β-Ga2O3,thermal conductivity,0.81
High Resolution Scanning Transmission Electron Microscopy (S/TEM) Investigation Of Common Defects In Scandium and Aluminum Alloyed β-Ga2O3,gan,0.8
High Resolution Scanning Transmission Electron Microscopy (S/TEM) Investigation Of Common Defects In Scandium and Aluminum Alloyed β-Ga2O3,single crystal substrates,0.78
High Resolution Scanning Transmission Electron Microscopy (S/TEM) Investigation Of Common Defects In Scandium and Aluminum Alloyed β-Ga2O3,melt growth,0.76
High Resolution Scanning Transmission Electron Microscopy (S/TEM) Investigation Of Common Defects In Scandium and Aluminum Alloyed β-Ga2O3,thin film deposition,0.75
High Resolution Scanning Transmission Electron Microscopy (S/TEM) Investigation Of Common Defects In Scandium and Aluminum Alloyed β-Ga2O3,bulk crystals,0.74
High Resolution Scanning Transmission Electron Microscopy (S/TEM) Investigation Of Common Defects In Scandium and Aluminum Alloyed β-Ga2O3,space group c2/m,0.73
High Resolution Scanning Transmission Electron Microscopy (S/TEM) Investigation Of Common Defects In Scandium and Aluminum Alloyed β-Ga2O3,anisotropic unit cell,0.72
High Resolution Scanning Transmission Electron Microscopy (S/TEM) Investigation Of Common Defects In Scandium and Aluminum Alloyed β-Ga2O3,gallium sites,0.7
High Resolution Scanning Transmission Electron Microscopy (S/TEM) Investigation Of Common Defects In Scandium and Aluminum Alloyed β-Ga2O3,oxygen coordination sites,0.68
High Resolution Scanning Transmission Electron Microscopy (S/TEM) Investigation Of Common Defects In Scandium and Aluminum Alloyed β-Ga2O3,extreme environment applications,0.65
Defects at nanoscale semiconductor interfaces: Challenges and opportunities,point defects,1.0
Defects at nanoscale semiconductor interfaces: Challenges and opportunities,semiconductor-metal interfaces,1.0
Defects at nanoscale semiconductor interfaces: Challenges and opportunities,interface defects,0.95
Defects at nanoscale semiconductor interfaces: Challenges and opportunities,solid-state electronic materials,0.92
Defects at nanoscale semiconductor interfaces: Challenges and opportunities,semiconductor defects,0.91
Defects at nanoscale semiconductor interfaces: Challenges and opportunities,electronic structure,0.9
Defects at nanoscale semiconductor interfaces: Challenges and opportunities,metal-semiconductor junction,0.89
Defects at nanoscale semiconductor interfaces: Challenges and opportunities,optoelectronic properties,0.88
Defects at nanoscale semiconductor interfaces: Challenges and opportunities,electronic material interfaces,0.88
Defects at nanoscale semiconductor interfaces: Challenges and opportunities,chemical structure,0.85
Defects at nanoscale semiconductor interfaces: Challenges and opportunities,nanoscale dimensions,0.85
Defects at nanoscale semiconductor interfaces: Challenges and opportunities,atomic scale techniques,0.83
Defects at nanoscale semiconductor interfaces: Challenges and opportunities,defect research,0.83
Defects at nanoscale semiconductor interfaces: Challenges and opportunities,nanoscale techniques,0.82
Defects at nanoscale semiconductor interfaces: Challenges and opportunities,microelectronics,0.78
Defects at nanoscale semiconductor interfaces: Challenges and opportunities,optical techniques,0.76
Defects at nanoscale semiconductor interfaces: Challenges and opportunities,electronic characterization,0.75
Defects at nanoscale semiconductor interfaces: Challenges and opportunities,microscopic techniques,0.74
Defects at nanoscale semiconductor interfaces: Challenges and opportunities,intimate interface,0.72
Defects at nanoscale semiconductor interfaces: Challenges and opportunities,macroscale properties,0.7
"Characterization of microstructure and defects in epitaxial ZnO (112¯0)<math><mrow is=""true""><mo stretchy=""false"" is=""true"">(</mo><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mrow is=""true""><mover accent=""true"" is=""true""><mrow is=""true""><mn is=""true"">2</mn></mrow><mo is=""true"">¯</mo></mover></mrow><mspace width="".25em"" is=""true""></mspace><mn is=""true"">0</mn><mo stretchy=""false"" is=""true"">)</mo></mrow></math> films on Al2O3 (11¯02)<math><mrow is=""true""><mo stretchy=""false"" is=""true"">(</mo><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mrow is=""true""><mover accent=""true"" is=""true""><mrow is=""true""><mn is=""true"">1</mn></mrow><mo is=""true"">¯</mo></mover></mrow><mspace width="".25em"" is=""true""></mspace><mn is=""true"">0</mn><mspace width="".25em"" is=""true""></mspace><mn is=""true"">2</mn><mo stretchy=""false"" is=""true"">)</mo></mrow></math> substrates by transmission electron microscopy",nonpolar zno films,1.0
"Characterization of microstructure and defects in epitaxial ZnO (112¯0)<math><mrow is=""true""><mo stretchy=""false"" is=""true"">(</mo><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mrow is=""true""><mover accent=""true"" is=""true""><mrow is=""true""><mn is=""true"">2</mn></mrow><mo is=""true"">¯</mo></mover></mrow><mspace width="".25em"" is=""true""></mspace><mn is=""true"">0</mn><mo stretchy=""false"" is=""true"">)</mo></mrow></math> films on Al2O3 (11¯02)<math><mrow is=""true""><mo stretchy=""false"" is=""true"">(</mo><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mrow is=""true""><mover accent=""true"" is=""true""><mrow is=""true""><mn is=""true"">1</mn></mrow><mo is=""true"">¯</mo></mover></mrow><mspace width="".25em"" is=""true""></mspace><mn is=""true"">0</mn><mspace width="".25em"" is=""true""></mspace><mn is=""true"">2</mn><mo stretchy=""false"" is=""true"">)</mo></mrow></math> substrates by transmission electron microscopy",transmission electron microscopy,0.95
"Characterization of microstructure and defects in epitaxial ZnO (112¯0)<math><mrow is=""true""><mo stretchy=""false"" is=""true"">(</mo><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mrow is=""true""><mover accent=""true"" is=""true""><mrow is=""true""><mn is=""true"">2</mn></mrow><mo is=""true"">¯</mo></mover></mrow><mspace width="".25em"" is=""true""></mspace><mn is=""true"">0</mn><mo stretchy=""false"" is=""true"">)</mo></mrow></math> films on Al2O3 (11¯02)<math><mrow is=""true""><mo stretchy=""false"" is=""true"">(</mo><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mrow is=""true""><mover accent=""true"" is=""true""><mrow is=""true""><mn is=""true"">1</mn></mrow><mo is=""true"">¯</mo></mover></mrow><mspace width="".25em"" is=""true""></mspace><mn is=""true"">0</mn><mspace width="".25em"" is=""true""></mspace><mn is=""true"">2</mn><mo stretchy=""false"" is=""true"">)</mo></mrow></math> substrates by transmission electron microscopy",misfit dislocations,0.95
"Characterization of microstructure and defects in epitaxial ZnO (112¯0)<math><mrow is=""true""><mo stretchy=""false"" is=""true"">(</mo><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mrow is=""true""><mover accent=""true"" is=""true""><mrow is=""true""><mn is=""true"">2</mn></mrow><mo is=""true"">¯</mo></mover></mrow><mspace width="".25em"" is=""true""></mspace><mn is=""true"">0</mn><mo stretchy=""false"" is=""true"">)</mo></mrow></math> films on Al2O3 (11¯02)<math><mrow is=""true""><mo stretchy=""false"" is=""true"">(</mo><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mrow is=""true""><mover accent=""true"" is=""true""><mrow is=""true""><mn is=""true"">1</mn></mrow><mo is=""true"">¯</mo></mover></mrow><mspace width="".25em"" is=""true""></mspace><mn is=""true"">0</mn><mspace width="".25em"" is=""true""></mspace><mn is=""true"">2</mn><mo stretchy=""false"" is=""true"">)</mo></mrow></math> substrates by transmission electron microscopy",threading dislocations,0.92
"Characterization of microstructure and defects in epitaxial ZnO (112¯0)<math><mrow is=""true""><mo stretchy=""false"" is=""true"">(</mo><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mrow is=""true""><mover accent=""true"" is=""true""><mrow is=""true""><mn is=""true"">2</mn></mrow><mo is=""true"">¯</mo></mover></mrow><mspace width="".25em"" is=""true""></mspace><mn is=""true"">0</mn><mo stretchy=""false"" is=""true"">)</mo></mrow></math> films on Al2O3 (11¯02)<math><mrow is=""true""><mo stretchy=""false"" is=""true"">(</mo><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mrow is=""true""><mover accent=""true"" is=""true""><mrow is=""true""><mn is=""true"">1</mn></mrow><mo is=""true"">¯</mo></mover></mrow><mspace width="".25em"" is=""true""></mspace><mn is=""true"">0</mn><mspace width="".25em"" is=""true""></mspace><mn is=""true"">2</mn><mo stretchy=""false"" is=""true"">)</mo></mrow></math> substrates by transmission electron microscopy",stacking faults,0.92
"Characterization of microstructure and defects in epitaxial ZnO (112¯0)<math><mrow is=""true""><mo stretchy=""false"" is=""true"">(</mo><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mrow is=""true""><mover accent=""true"" is=""true""><mrow is=""true""><mn is=""true"">2</mn></mrow><mo is=""true"">¯</mo></mover></mrow><mspace width="".25em"" is=""true""></mspace><mn is=""true"">0</mn><mo stretchy=""false"" is=""true"">)</mo></mrow></math> films on Al2O3 (11¯02)<math><mrow is=""true""><mo stretchy=""false"" is=""true"">(</mo><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mrow is=""true""><mover accent=""true"" is=""true""><mrow is=""true""><mn is=""true"">1</mn></mrow><mo is=""true"">¯</mo></mover></mrow><mspace width="".25em"" is=""true""></mspace><mn is=""true"">0</mn><mspace width="".25em"" is=""true""></mspace><mn is=""true"">2</mn><mo stretchy=""false"" is=""true"">)</mo></mrow></math> substrates by transmission electron microscopy",plasma-assisted molecular beam epitaxy,0.9
"Characterization of microstructure and defects in epitaxial ZnO (112¯0)<math><mrow is=""true""><mo stretchy=""false"" is=""true"">(</mo><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mrow is=""true""><mover accent=""true"" is=""true""><mrow is=""true""><mn is=""true"">2</mn></mrow><mo is=""true"">¯</mo></mover></mrow><mspace width="".25em"" is=""true""></mspace><mn is=""true"">0</mn><mo stretchy=""false"" is=""true"">)</mo></mrow></math> films on Al2O3 (11¯02)<math><mrow is=""true""><mo stretchy=""false"" is=""true"">(</mo><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mrow is=""true""><mover accent=""true"" is=""true""><mrow is=""true""><mn is=""true"">1</mn></mrow><mo is=""true"">¯</mo></mover></mrow><mspace width="".25em"" is=""true""></mspace><mn is=""true"">0</mn><mspace width="".25em"" is=""true""></mspace><mn is=""true"">2</mn><mo stretchy=""false"" is=""true"">)</mo></mrow></math> substrates by transmission electron microscopy",al2o3 substrate,0.88
"Characterization of microstructure and defects in epitaxial ZnO (112¯0)<math><mrow is=""true""><mo stretchy=""false"" is=""true"">(</mo><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mrow is=""true""><mover accent=""true"" is=""true""><mrow is=""true""><mn is=""true"">2</mn></mrow><mo is=""true"">¯</mo></mover></mrow><mspace width="".25em"" is=""true""></mspace><mn is=""true"">0</mn><mo stretchy=""false"" is=""true"">)</mo></mrow></math> films on Al2O3 (11¯02)<math><mrow is=""true""><mo stretchy=""false"" is=""true"">(</mo><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mrow is=""true""><mover accent=""true"" is=""true""><mrow is=""true""><mn is=""true"">1</mn></mrow><mo is=""true"">¯</mo></mover></mrow><mspace width="".25em"" is=""true""></mspace><mn is=""true"">0</mn><mspace width="".25em"" is=""true""></mspace><mn is=""true"">2</mn><mo stretchy=""false"" is=""true"">)</mo></mrow></math> substrates by transmission electron microscopy",dislocation density,0.88
"Characterization of microstructure and defects in epitaxial ZnO (112¯0)<math><mrow is=""true""><mo stretchy=""false"" is=""true"">(</mo><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mrow is=""true""><mover accent=""true"" is=""true""><mrow is=""true""><mn is=""true"">2</mn></mrow><mo is=""true"">¯</mo></mover></mrow><mspace width="".25em"" is=""true""></mspace><mn is=""true"">0</mn><mo stretchy=""false"" is=""true"">)</mo></mrow></math> films on Al2O3 (11¯02)<math><mrow is=""true""><mo stretchy=""false"" is=""true"">(</mo><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mrow is=""true""><mover accent=""true"" is=""true""><mrow is=""true""><mn is=""true"">1</mn></mrow><mo is=""true"">¯</mo></mover></mrow><mspace width="".25em"" is=""true""></mspace><mn is=""true"">0</mn><mspace width="".25em"" is=""true""></mspace><mn is=""true"">2</mn><mo stretchy=""false"" is=""true"">)</mo></mrow></math> substrates by transmission electron microscopy",frank partial dislocations,0.85
"Characterization of microstructure and defects in epitaxial ZnO (112¯0)<math><mrow is=""true""><mo stretchy=""false"" is=""true"">(</mo><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mrow is=""true""><mover accent=""true"" is=""true""><mrow is=""true""><mn is=""true"">2</mn></mrow><mo is=""true"">¯</mo></mover></mrow><mspace width="".25em"" is=""true""></mspace><mn is=""true"">0</mn><mo stretchy=""false"" is=""true"">)</mo></mrow></math> films on Al2O3 (11¯02)<math><mrow is=""true""><mo stretchy=""false"" is=""true"">(</mo><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mrow is=""true""><mover accent=""true"" is=""true""><mrow is=""true""><mn is=""true"">1</mn></mrow><mo is=""true"">¯</mo></mover></mrow><mspace width="".25em"" is=""true""></mspace><mn is=""true"">0</mn><mspace width="".25em"" is=""true""></mspace><mn is=""true"">2</mn><mo stretchy=""false"" is=""true"">)</mo></mrow></math> substrates by transmission electron microscopy",type-i1 intrinsic stacking fault,0.85
